Username,AVIATE_ONE_BLOCKS,ANIMALS_BRED,BELL_RING,BOAT_ONE_BLOCKS,CLEAN_ARMOR,CLEAN_BANNER,CLEAN_SHULKER_BOX,CLIMB_ONE_BLOCKS,CROUCH_ONE_BLOCKS,DAMAGE_ABSORBED,DAMAGE_BLOCKED_BY_SHIELD,DAMAGE_DEALT,DAMAGE_DEALT_ABSORBED,DAMAGE_DEALT_RESISTED,DAMAGE_RESISTED,DAMAGE_TAKEN,DEATHS,DROP,EAT_CAKE_SLICE,ENCHANT_ITEM,FALL_ONE_BLOCKS,FILL_CAULDRON,FISH_CAUGHT,FLY_ONE_BLOCKS,HAPPY_GHAST_ONE_BLOCKS,HORSE_ONE_BLOCKS,INSPECT_DISPENSER,INSPECT_DROPPER,INSPECT_HOPPER,INTERACT_WITH_ANVIL,INTERACT_WITH_BEACON,INTERACT_WITH_BLAST_FURNACE,INTERACT_WITH_BREWINGSTAND,INTERACT_WITH_CAMPFIRE,INTERACT_WITH_CARTOGRAPHY_TABLE,INTERACT_WITH_CRAFTING_TABLE,INTERACT_WITH_FURNACE,INTERACT_WITH_GRINDSTONE,INTERACT_WITH_LECTERN,INTERACT_WITH_LOOM,INTERACT_WITH_SMITHING_TABLE,INTERACT_WITH_SMOKER,INTERACT_WITH_STONECUTTER,JUMP,LEAVE_GAME,MINECART_ONE_BLOCKS,MOB_KILLS,NAUTILUS_ONE_BLOCKS,OPEN_BARREL,OPEN_CHEST,OPEN_ENDERCHEST,OPEN_SHULKER_BOX,PIG_ONE_BLOCKS,PLAY_NOTEBLOCK,PLAY_RECORD,PLAYER_KILLS,POT_FLOWER,RAID_TRIGGER,RAID_WIN,SLEEP_IN_BED,SNEAK_TIME,SPRINT_ONE_BLOCKS,STRIDER_ONE_BLOCKS,SWIM_ONE_BLOCKS,TALKED_TO_VILLAGER,TARGET_HIT,TIME_SINCE_DEATH,TIME_SINCE_REST,TOTAL_WORLD_TIME,TRADED_WITH_VILLAGER,TRIGGER_TRAPPED_CHEST,TUNE_NOTEBLOCK,USE_CAULDRON,WALK_ON_WATER_ONE_BLOCKS,WALK_ONE_BLOCKS,WALK_UNDER_WATER_ONE_BLOCKS
HalfWingedAngel,2287581,278,0,81230,0,0,0,27304,44105,626,6735,4687434,22,0,72,138118,99,3416,2,0,23388,20,346,159408,0,173399,794,136,2137,351,13,22,225,0,0,3267,502,14,131,4,8,62,0,155340,308,4224,646895,0,4899,30532,504,14509,277,61,23,3,36,2,0,997,3551019,515542,0,43691,4042,57,1626577,14031,72113133,6715,7,2362,388,35679,1028223,91647
ProbablyDylan,1002309,191,0,26354,0,0,0,17382,49741,0,10601,311260,0,0,334,96374,47,5783,0,15,31718,3,0,183596,2612756,3583,225,345,3589,44,8,14,12,0,2,1061,769,18,19,0,16,1,55,103560,284,0,366421,0,3272,9554,1228,5838,0,3,2,4,2,0,0,122,868973,166533,0,15319,60,0,256335,27809,63910013,0,1,9,0,13504,406518,16478
imperfection_,1923987,95,31,43053,0,0,0,12435,53542,599,13027,800796,319,0,5818,154636,39,6540,17,28,101126,0,961,822018,447629,147583,112,79,70,132,19,123,30,0,1,1318,602,11,129,39,36,100,18,348607,603,5360,7880,2821,5851,7620,3824,5179,1243,6,241,30,129,3,5,148,998438,683472,0,42142,217,161,71521,34664,58973798,28,23,654,16,23024,714596,28800
dread19,5859499,425,71,38049,0,16,27,10104,178413,18750,15803,5307762,2203,63,414292,1009257,265,39502,10,179,296648,89,254,1298805,504714,174305,1285,1971,7019,303,183,7,409,0,0,3990,1940,150,351,90,166,2,169,425026,595,2485,145063,6930,11294,33727,4557,30590,32,860,53,81,60,578,376,421,2992511,547774,0,25796,2659,320,30409,15419,58525228,13474,9,1080,187,30854,833541,54914
VirgilAttack,457000,1562,495,143410,1,0,0,100523,381723,40,129566,623872,0,0,5176,218171,198,10622,23,61,82037,13,612,829623,697656,25877,119,30,138,204,60,1921,7,0,1,3386,3545,13,73,38,12,183,175,386673,338,2863,43086,25735,1179,23299,1363,5294,1112,61,43,22,60,0,0,1215,6842601,870627,0,41838,115,6,1521724,12066,57813820,0,6,162,414,36264,1149902,80142
_LadyFireHeart_,4425964,49,30,110610,0,0,4,11229,129052,1280,30591,457488,178,0,4130,193549,46,5656,0,0,166809,18,1201,1608427,42098,345081,1328,174,963,492,12,251,143,49,3,2050,1295,19,314,7,21,194,9,557609,913,409,10327,11839,9406,30749,5012,27893,657,10,8,28,225,1,2,262,2021406,726062,0,57740,1268,6,582023,9254,55673524,771,45,128,125,28288,1078379,98573
Mob_Ninja_J,2989791,666,2340,670752,1,28,7,14870,160528,915,37465,1094586,0,0,15349,296688,55,10760,0,29,245283,20,904,2329654,903723,45771,417,405,747,226,36,199,2415,0,246,1287,710,32,241,48,13,38,166,939192,460,4211,16662,64437,25795,10508,10709,9001,15772,1536,135,14,137,3,4,433,3414348,1167727,13657,147588,3649,3,288041,19675,54647165,1909,133,1569,7,32815,739364,106479
Genghis_II,1687171,410,5,60368,0,2,2,24250,128434,0,3789,20715998,0,0,1113,1043456,9,5592,10,146,64925,164,12,249083,0,2492,921,1435,7041,234,72,6,246,0,2,1597,662,128,91,42,13,3,209,147890,337,588,1309604,0,4062,21112,1439,20279,0,313,0,2,23,0,0,572,2126235,443525,0,6381,2577,1,19743880,18317,52952943,13132,1468,1843,769,9955,630264,18525
Rocktail1202,627682,297,11,239707,34,39,9,58122,70938,2749,72994,748201,126,0,39542,141745,79,2063,120,141,66780,36,1509,357087,248827,138067,244,1,255,299,14,1614,1156,10,2,2939,8990,276,44,43,38,779,492,224775,239,68274,17963,794,4679,31577,4471,12048,16478,1,28,0,43,0,0,997,2288391,616291,18881,96947,3330,64,2638166,126882,51277155,6954,111,54,7,39937,644434,111300
ZoeIsEepy,2313384,6,153,476843,0,0,0,11708,361054,307,5179,551110,118,91,9221,136764,15,8395,6,5,64381,5,1225,442362,265260,22945,717,529,3011,359,42,25,4,1,0,1692,1747,24,272,18,35,135,101,258203,472,5687,1306286,13711,10814,16311,2492,29669,0,147,38,28,24,2,2,1388,4079062,510737,0,94040,1235,16,122977,487,50132705,1101,10,155,0,27393,577095,48779
Bunjinn,1079882,19,19,24754,0,0,0,10857,100144,544,0,585514,0,0,883,96380,31,5727,2,0,42957,12,335,2651235,21548,19175,74,56,430,93,15,54,13,0,1,945,185,5,81,6,7,56,367,308568,317,127,4260,0,7027,6265,678,6383,0,33,71,6,473,0,0,261,2223424,558285,0,18129,106,0,1598502,244150,50087447,17,28,1175,21,35843,799307,70024
rizizrii,1401579,32,3,137320,0,0,0,15471,36264,1848,0,415607,4,0,2655,177026,174,13322,0,2,85467,20,2178,512958,940833,16017,402,277,1270,202,56,385,12,3,11,2275,1348,3,108,20,86,78,370,366175,386,3346,8118,38491,4172,13842,2777,23763,2044,35,60,25,1,0,0,325,1555050,557070,306,38917,234,0,161370,6013,49514190,24,8,816,53,43930,1116635,79447
chinchilia,4366354,77,396,98036,1,0,0,7959,71004,8521,792,914656,146,229,19296,531292,359,9101,79,99,226002,6,151,1593101,351648,111031,168,279,288,129,12,57,62,0,3,1324,778,66,193,8,125,16,129,613503,483,3379,7557,5059,7470,14976,3067,19399,14095109,516,396,38,53,1,3,561,1593739,946745,0,41792,129,10,58819,1961,49256962,95,54,992,3,24349,721064,32530
JonaRuu,1248106,298,0,189527,0,0,0,5615,64758,0,4170,286462,0,0,4005,116506,53,13690,2,165,46140,4,6,252438,257621,1858,127,305,1018,203,19,188,137,0,5,1750,1398,131,113,3,11,137,468,143738,182,25561,44288,2905,2962,17178,349,13860,13,6,12,0,126,0,1,177,2844601,447148,0,85894,500,0,639461,15457,46161847,1240,63,9,62,22954,618786,186799
Slaysen_,1241582,433,23,95814,0,9,0,30342,70822,483,136167,780075,0,3,6577,242835,102,7375,0,28,53119,12,1311,199149,26057,2877,31,7,24,217,31,552,1527,0,1,2650,3327,17,64,38,50,110,222,206016,460,213,22545,0,2268,11851,3743,14078,2046,4,42,13,55,0,0,348,1995839,433163,0,51927,1469,0,80140,15855,44104113,942,1,146,331,37730,774883,80467
LucyLunana,0,692,1998,221293,0,0,0,26586,22596,0,32974,633073,36,6,885,232734,287,8126,23,179,117445,18,59,760331,10292,18853,368,38,1014,239,18,55,19,0,1,1745,1277,38,203,0,4,20,207,383637,176,10898,12645,636,1004,22427,99,4189,1006278,172,51,17,4,0,0,138,761937,594935,0,27877,467,0,56124,38527,40328131,1557,13,116,440,19102,1178898,123974
ballslicker69,2433102,20,108,65277,0,0,0,3505,21125,1100,13975,242586,374,0,6503,196271,74,4095,51,132,93957,8,45,664977,271870,51847,375,199,205,170,24,1,25,0,3,1917,1556,51,148,17,31,2,0,307776,500,11919,3924,0,3426,7598,2377,8883,21474836,285,378,35,5,1,0,526,539044,448155,0,8765,1516,3,21741,21786,39595935,2517,9,515,21,13723,886656,15096
HighLordCurzon,404104,152,5,6361,8,0,1,11261,6813,335,11014,88175,0,0,497,21135,9,1536,0,37,6640,7,0,4178,729769,26,2,4,454,99,6,483,229,0,2,1354,875,63,16,0,20,8,38,26640,69,0,4266,0,1017,4833,1207,4992,0,0,0,0,0,0,0,80,280868,115944,0,67348,3182,0,12372189,16993,37632560,18890,3,8,101,3889,324116,22488
The_Dragon_,1269727,1,6061476,370891,0,0,0,4557,312231,279,0,3651598,0,22,4457,119795,14,6514,0,0,36326,2,279,201841,1578964,1991,409,325,3332,240,54,23,0,0,0,1167,1104,6,50,0,30,56,157,141623,256,53641,432695,0,4353,6453,2136,17439,0,195,33,6,1,1,1,886,3488878,333078,0,10605,182,0,259172,6451,37041676,311,10,17,0,14753,590720,10336
lvte,5743524,555,1215,235530,0,0,0,5888,144452,6039,31418,1035068,391,135,29220,620486,302,9507,72,41,203425,5,751,1237659,486105,486545,199,68,91,150,21,22,18,0,1,1320,1042,28,110,10,40,3,20,558511,450,2408,17975,12051,2771,19133,2423,10925,13478979,11,41,253,83,0,0,239,2153419,695805,0,114198,2319,22,59760,4627,36349533,5162,20,1549,3,62449,550164,82058
dcfemella,230719,717,30,289379,0,0,0,6001,3930,19,27569,282231,0,0,1832,51721,51,8523,0,30,11306,27,2025,20407,136766,6881,89,0,165,75,21,56,3,0,1,2947,988,2,28,8,46,119,29,87827,360,0,4787,864,3127,7753,202,2895,54,0,7,0,49,0,0,979,346089,366354,0,2943,4224,0,80662,11686,34810177,9445,15,50,192,32506,966925,9744
NikaUmi,1785775,38,100,23246,0,0,1,11564,84534,18,7834,233536,160,0,2920,173046,44,3319,9,0,63464,4,426,537050,980136,55232,57,51,272,121,9,3,36,0,1,1874,676,8,232,1102,61,8,455,219254,477,1014,4277,0,17677,11233,5696,29348,3394,21,32,31,99,1,3,86,1495315,617956,0,18685,162,22,2816852,44900,33948227,45,179,151,16,8478,520941,18733
EchoDachi,1862853,166,106,81965,0,1,0,32643,25289,255,1910,284390,8,0,104,126959,74,5597,8,19,124250,2,617,1190668,0,182923,21,9,93,92,29,31,13,8,1,1355,392,1,51,25,29,15,130,478481,320,336,3475,0,3888,9491,1225,10198,0,1,25,14,3,0,0,764,1006488,502311,0,53519,536,0,10114,401,33735392,397,34,184,0,29517,439710,32028
fuzz44,499851,225,0,27418,1,11,1,5517,13626,0,169272,68746,0,0,243,23178,27,3207,0,241,11290,18,928,200648,516819,59094,138,55,175,121,26,9,9,2,0,1454,1354,77,80,241,13,16,33,112042,204,214,16053,2658,3208,9484,707,6165,1784,23,20,20,43,0,0,920,763366,470300,0,3021,3329,0,125520,7986,33073417,5766,15,5,266,14566,667016,36404
Pixie_Soiree,1679819,86,8,32036,0,0,0,24615,160649,40,3582,229019,0,0,2544,89846,67,2436,0,4,43377,11,989,402534,0,115597,64,29,265,175,43,78,51,0,0,1777,808,5,128,0,18,70,406,231198,251,187,9773,0,3074,16272,1371,13678,0,0,53,12,11,0,0,574,3354170,451688,0,64524,925,0,63700,63730,32403937,592,1,24,17,64014,487930,32194
BlownUpp,254697,404,5,136551,0,0,0,9338,13504,0,30162,295793,0,0,944,44127,9,2025,0,129,13918,150,513,34643,385701,22966,695,759,898,97,9,121,106,0,2,1675,943,94,20,0,10,71,93,71884,109,896,18903,23314,1842,6990,1287,8426,0,188,0,1,2,0,0,367,576485,35391,0,5297,1696,2,519244,46289,31942411,976,22,196,211,10527,518615,18444
DeadButNotDying,1243821,284,18,23810,0,0,0,10347,63884,34,18829,182657,0,0,1727,95916,31,3073,0,13,36984,6,4,277967,5629,1770,54,88,554,218,16,58,81,0,8,1335,637,10,69,20,14,170,444,156571,209,7660,3891,0,1770,15505,501,11959,0,2,21,18,118,0,0,292,1591061,361185,0,9040,132,0,752599,25691,31463101,276,6,101,57,8916,613931,13309
Raadixx,310485,188,0,106162,0,0,0,30905,55522,0,660,40538,0,0,103,16231,3,11007,0,0,22080,0,574,216130,0,257,37,41,251,47,15,0,0,0,0,1112,2966,1,13,0,0,1,8,123359,140,33823,3109,0,655,6900,574,3521,0,0,0,0,0,0,0,665,1606824,337455,0,12702,22,0,28860857,4893,30266561,8,0,255,0,26794,261687,25771
nohita_,563483,1539,0,111207,0,0,0,5862,26296,216,4949,290590,0,0,2784,72086,40,2777,0,27,29890,1,427,211215,22267,4,25,70,143,43,42,90,2,3,0,733,319,32,212,5,48,39,280,115024,133,17502,4058,0,1539,6574,858,5580,0,3,8,7,0,0,0,56,801829,213081,0,17064,38,0,396166,8047,29887366,7,15,91,1,10982,394362,23680
Daedric_Ace,563620,436,65,27334,0,0,0,912,11728,206,0,390591,0,0,1024,81959,20,3223,0,74,12084,13,1063,60086,4018,2,616,3,768,81,6,0,0,0,2,872,616,24,14,0,10,1,2,64193,171,0,7792,0,2070,3713,677,1921,0,0,9,0,0,7,7,67,338439,77941,0,4371,27,0,3603406,85254,29857406,0,0,6,598,10800,319244,14256
berrycowboy,273352,88,1,41360,2,4,0,7113,20348,81,21980,399171,0,0,1082,83631,39,3642,0,158,21520,17,2656,94722,10954,149,45,3,178,195,1,116,235,83,7,1305,277,187,54,39,72,24,80,96915,196,557,15417,13935,2365,4928,1274,2464,2243,0,212,10,20,0,0,451,625043,266198,0,17258,3140,1,936737,115324,28528048,10778,5,486,40,27876,544303,27489
ExTexan,1578619,175,85,50417,0,0,0,2473,71027,694,2534,781968,234,40,5363,178226,15,8003,4,232,100237,1,144,382649,63436,2229,349,545,2405,133,20,0,166,0,0,2297,2701,121,296,3,37,2,53,244141,503,259,15046,0,9528,14961,2023,21773,165,1126,80,28,16,0,0,174,1407054,399001,0,40613,3333,0,17218992,256868,27911638,3941,104,2208,0,21706,310886,22715
9thhh,1266927,29,47,129853,0,0,0,8352,11199,915,6708,423992,1680,47,23799,349899,334,11717,15,96,167872,0,321,1076320,25536,14365,43,10,36,81,4,213,1,0,2,719,432,73,154,6,46,0,197,473733,266,2389,18112,0,3702,5411,1152,7615,640749,2,251,103,41,0,1,372,292646,402416,0,14457,212,2,20411,13517,27485442,1059,9,354,0,10700,460503,15911
Epeon,1476748,370,305,106248,1,0,6,8889,253357,4698,5233,2991514,10,0,15503,194477,62,5498,0,230,65599,14,568,313128,417048,44322,456,100,2271,224,74,117,282,0,15,2624,1876,170,80,39,16,101,298,194147,394,5,164481,0,3620,17248,7132,8216,0,2,201,0,187,1,1,180,3654477,707318,0,30183,3057,0,625411,57676,27138867,14381,3,34,57,18281,674914,36073
LethalPotato_,1370252,335,2,68798,0,0,0,2258,173337,67,6222,592860,0,0,64000,188134,34,6382,0,28,103372,26,11,301931,5315099,2974,2438,3663,7467,52,33,32,33,1,1,1414,854,28,14,0,6,365,73,177557,319,111,9781,0,1464,10628,570,21890,95,694,2,0,0,0,0,208,2706747,263361,0,63095,416,39,1792722,5334,26585199,734,81,399,195,56404,314731,109235
Sprince0823,419093,105,0,21668,0,0,0,7420,110629,0,3958,203749,0,0,13098,60760,10,636,0,0,25544,9,113,107287,0,4,286,0,47,7,14,0,0,0,0,335,649,0,35,4,18,0,40,89722,112,126,1570,0,1145,4547,415,2246,0,0,0,0,0,0,0,207,1992085,113275,0,4353,2,0,13108633,8261,24706568,0,0,5,71,3586,290100,3966
DoodzEric,1546384,152,98,75648,0,0,0,7133,183793,291,2921,749404,96,18,5307,210908,91,4414,2,24,78006,1,9745,376308,217210,84353,12,265,1040,213,11,20,141,8,2,1105,621,23,238,5,27,8,161,230491,206,50944,6569,197,6500,15278,2061,5487,4553,1757,61,17,16,1,1,178,3252396,353539,0,31113,1103,78,382220,355,23694621,3830,80,764526,0,22939,351299,17260
QueenShorkie,1013349,39,10,49243,0,0,0,5250,22466,67,780,129611,0,0,112,97766,89,2872,59,7,33782,0,553,296800,0,131437,213,34,51,44,14,0,2,8,1,877,666,0,47,1,13,12,42,156495,189,706,2396,0,3459,6771,648,5921,0,0,28,7,2,0,0,254,746742,263199,0,19245,439,2,703527,15342,22988829,262,8,121,28,31113,589455,58265
nezjin,866036,608,0,23316,0,0,0,26567,6713,0,978,95722,0,0,51,93001,64,892,0,227,43380,14,111,306560,0,453,773,1146,1774,245,20,25,82,0,3,1294,348,9,61,14,19,19,116,152402,227,124,1740,0,1776,7360,1241,4815,0,33,1,0,14,0,0,411,431974,87348,0,2515,1744,0,115732,20405,22212755,6076,175,124,304,5886,411912,30286
LukiferD,1063386,6,4,28100,0,0,1,8549,25824,58,697,175369,11,336,2619,109146,38,2676,0,0,55730,3,92,374193,86206,34778,28,624,791,44,32,3,0,0,12,804,429,0,169,9,14,1,163,180016,283,465,1990,0,2570,6130,1554,13110,2,22,171,4,24,0,0,70,485711,253008,0,7090,546,0,306797,69203,22087269,4388,3,861,8,12824,319117,12625
visionsofashes,1085888,435,1726,104312,1,1,1,12716,20081,507,484,397392,0,0,1250,82587,21,4222,0,0,50658,6,1071,262609,21863,14,26,11,164,79,49,419,1,6,1,2220,1285,53,142,18,45,517,2,180968,282,217,6227,0,12537,10589,1620,5717,0,9,59,0,1,1,1,241,780842,425702,0,30440,98,55,784633,18651,21931527,20,14,254,136,22283,804670,52180
BodenfliesePrime,2109036,257,116,20999,0,0,0,6079,49571,481,1956,477604,421,0,7378,125992,32,3511,5,194,55951,4,253,679439,7985,200563,199,16,342,107,72,80,245,0,0,962,493,93,73,8,46,16,55,166062,219,872,12277,0,4858,11971,1829,7360,0,23,36,17,13,0,0,142,757261,262774,0,21622,4998,0,440521,379,21818329,52573,8,463,2,9633,360258,17806
raddcatt,691430,1126,35,5405,0,0,0,3440,13272,22,7934,459375,0,0,634,34740,0,853,0,88,30472,2,27,249842,43889,5424,26,9,78,56,11,487,28,0,1,724,327,18,99,2,22,88,26,124850,164,1214,5380,0,2001,10039,669,1555,0,1,15,1,7,0,0,62,249543,220977,0,6994,265,1,21552700,45324,21556168,440,8,81,36,7457,365687,7232
ha5hbrowns,1167103,6,2,54174,0,0,0,5366,29205,75,5742,145988,40,0,1829,59926,22,2955,0,0,24000,3,392,186804,2035,4460,6,75,112,51,26,7,36,0,3,924,976,0,107,4,18,2,315,109967,335,388,1682,179,4733,10896,929,2768,2262,12,2,0,40,0,0,441,1165759,465718,0,10600,99,0,160267,102803,21356201,1,5,356,60,11385,625303,8444
seidqwest,1908147,271,51999,114884,0,0,0,4385,53360,9284,10309,1581045,1942,649,3945,286732,9,24845,89,27,125935,0,843,587162,0,2234,27,1,260,176,41,182,387,0,112,1331,527,31,84,5,48,211,23,295202,159,65087,21977,0,4557,9829,4312,5910,10037,105,16,11,66,6,4,90,935606,568946,10053,64245,607,0,69403,22068,21217764,654,1,524,2,11626,272925,19206
TenRealDan,1505747,237,2,24962,0,0,0,5262,33710,2575,0,256451,0,0,4865,80540,8,3182,0,92,60746,4,1410,264302,10213,3247,37,1,46,76,19,200,17,3,0,882,888,73,26,13,24,60,241,135157,106,0,33386,0,688,7545,1675,4669,0,126,0,7,64,14,16,339,743031,232785,0,10740,76,0,2345252,42051,20513942,119,2,86,0,7166,515718,16435
